A112;113;0.06;0.08;0.01;33.17;-16.31;32.32;60.0;90.0;0.0;
A113;114;0.07;0.08;0.01;34.5;-11.37;34.49;75.0;90.0;0.0;
A114;115;0.08;0.09;0.02;35.72;-5.81;36.33;90.0;90.0;0.0;
A115;116;0.09;0.09;0.02;36.86;-0.52;37.86;105.0;90.0;0.0;
A116;117;0.1;0.1;0.02;37.67;4.54;39.62;120.0;90.0;0.0;
A117;118;0.11;0.1;0.01;38.53;9.39;41.56;135.0;90.0;0.0;
A118;119;0.13;0.11;0.01;39.64;14.39;43.61;150.0;90.0;0.0;
A119;120;0.14;0.12;0.01;40.85;18.97;45.67;165.0;90.0;0.0;
A120;121;0.16;0.13;0.01;42.09;23.74;47.98;180.0;90.0;0.0;
A121;122;0.18;0.13;0.01;43.28;28.56;50.55;195.0;90.0;0.0;
A122;123;0.2;0.14;0.01;44.74;33.13;53.25;210.0;90.0;0.0;
A123;124;0.22;0.15;0.01;46.23;37.4;55.97;225.0;90.0;0.0;
A124;125;0.24;0.16;0.01;47.54;40.4;57.67;240.0;90.0;0.0;
A125;126;0.26;0.17;0.01;48.77;42.98;59.1;255.0;90.0;0.0;
A126;127;0.05;0.08;0.02;33.52;-30.09;30.09;0.0;105.0;0.0;
A127;128;0.05;0.08;0.02;33.63;-29.05;30.84;15.0;105.0;0.0;
A128;129;0.05;0.08;0.02;34.09;-27.44;31.99;30.0;105.0;0.0;
A129;130;0.06;0.09;0.02;35.1;-24.92;33.37;45.0;105.0;0.0;
A130;131;0.07;0.09;0.02;36.29;-21.5;35.01;60.0;105.0;0.0;
A131;132;0.08;0.1;0.02;37.55;-16.99;36.72;75.0;105.0;0.0;
A132;133;0.09;0.11;0.02;38.97;-11.84;38.51;90.0;105.0;0.0;
A133;134;0.1;0.11;0.02;40.33;-6.22;40.33;105.0;105.0;0.0;
A134;135;0.11;0.12;0.02;41.05;-1.27;42.16;120.0;105.0;0.0;
A135;136;0.13;0.13;0.02;42.01;4.36;44.12;135.0;105.0;0.0;
A136;137;0.14;0.13;0.02;43.03;9.47;46.04;150.0;105.0;0.0;
A137;138;0.16;0.14;0.02;44.12;14.26;47.89;165.0;105.0;0.0;
A138;139;0.17;0.15;0.02;45.27;18.92;50.07;180.0;105.0;0.0;
A139;140;0.19;0.16;0.02;46.49;23.25;52.43;195.0;105.0;0.0;
A140;141;0.21;0.17;0.02;47.82;27.85;55.15;210.0;105.0;0.0;
A141;142;0.24;0.18;0.02;49.22;32.18;57.98;225.0;105.0;0.0;
A142;143;0.26;0.19;0.02;50.7;35.8;60.56;240.0;105.0;0.0;
A143;144;0.29;0.2;0.02;52.26;39.07;63.22;255.0;105.0;0.0;
A144;145;0.06;0.09;0.02;36.62;-32.6;32.98;0.0;120.0;0.0;
